Team,Nr. Spieler,S5,Min,Pts,Reb,As,St,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,DR,OR,BL,TO,F,EF
UBC Münster,12 Paul Böttcher,0,29:49,23,13,6,3,7,17,41.2,1,3,33.3,8,20,40,6,8,75,13,0,1,5,0,41
UBC Münster,14 Theo Tegeder,0,17:25,15,6,0,4,5,7,71.4,0,0,0,5,7,71,5,7,71.4,6,0,0,4,5,21
UBC Münster,4 Onno Stein,0,25:50,7,4,8,3,1,4,25,1,2,50,2,6,33,2,4,50,4,0,0,6,2,16
UBC Münster,11 Piet Schwering,0,29:36,13,1,4,2,4,11,36.4,1,5,20,5,16,31,2,3,66.7,1,0,0,3,1,17
UBC Münster,6 Henrik Stegger,0,14:07,2,4,0,0,1,5,20,0,0,0,1,5,20,0,0,0,4,0,0,0,1,6
UBC Münster,5 Erik Parge,0,26:29,6,2,1,3,3,4,75,0,3,0,3,7,43,0,1,0,2,0,0,2,3,10
UBC Münster,10 Jonathan David Jenschke,0,9:56,0,3,0,1,0,3,0,0,1,0,0,4,0,0,0,0,3,0,0,0,2,4
UBC Münster,9 George Badra,0,16:34,6,8,0,3,1,3,33.3,0,1,0,1,4,25,4,6,66.7,8,0,0,5,1,12
UBC Münster,15 Luca Guidez,0,6:11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1
UBC Münster,7 Noah Markewitz,0,4:54,3,0,1,0,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,4
UBC Münster,8 Johann Schulze-Blasum,0,11:21,3,2,1,0,0,0,0,1,5,20,1,5,20,0,0,0,2,0,0,0,0,6
UBC Münster,16 Mats Wiesel,0,7:48,2,1,0,2,1,2,50,0,1,0,1,3,33,0,0,0,1,0,0,0,0,5
UBC Münster,Teamaktionen,,,,44,,,,,,,,,,,,,,,,,1,26,15,
UBC Münster,Gesamt,0,200:00,80,44,21,21,23,57,40,5,22,23,28,79,35,19,29,66,44,0,1,26,15,145
Paderborn Baskets,21 Maximilian Jay Eggers Tristan,0,13:42,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,-2
Paderborn Baskets,7 Tom Tietz,0,22:27,3,2,3,0,0,0,0,1,3,33.3,1,3,33,0,0,0,2,0,0,4,0,4
Paderborn Baskets,15 Marwan Tarabishi,0,30:22,15,9,2,4,6,13,46.2,0,1,0,6,14,43,3,7,42.9,9,0,1,0,3,31
Paderborn Baskets,13 Christian Breho,0,27:28,7,5,3,3,2,3,66.7,0,6,0,2,9,22,3,6,50,5,0,0,8,3,10
Paderborn Baskets,4 Moritz Reinsberger,0,14:49,2,2,0,1,1,1,100,0,3,0,1,4,25,0,0,0,2,0,0,9,1,-4
Paderborn Baskets,5 Meyaki Mohaman,0,14:28,2,2,1,1,1,2,50,0,0,0,1,2,50,0,0,0,2,0,1,3,5,4
Paderborn Baskets,8 Lukas Abt,0,23:41,4,7,2,2,2,3,66.7,0,2,0,2,5,40,0,0,0,7,0,1,3,2,13
Paderborn Baskets,12 Justus Simon,0,13:37,4,5,0,0,2,3,66.7,0,0,0,2,3,67,0,1,0,5,0,0,2,2,7
Paderborn Baskets,14 Johann Iranio Steinhäuser,0,3:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2
Paderborn Baskets,11 Nick Nagelmeier,0,8:58,4,2,0,0,2,4,50,0,0,0,2,4,50,0,0,0,2,0,0,1,0,5
Paderborn Baskets,10 Oleksandr Fabuliak,0,1:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paderborn Baskets,9 Arda Oyluctarhan,0,25:13,22,5,1,6,8,18,44.4,2,2,100,10,20,50,0,0,0,5,0,2,1,1,35
Paderborn Baskets,Teamaktionen,,,,39,,,,,,,,,,,,,,,,,5,34,24,
Paderborn Baskets,Gesamt,0,200:00,63,39,12,17,24,48,50,3,17,18,27,65,42,6,14,43,39,0,5,35,24,114
